ObjectType,OldID,NewID,ObjectName,FilePath,Status
Table,50000,55000,"Flash ventas (TMP)","src/tables/Table 50000 - Flash ventas (TMP).al",Renumbered
Table,50001,55001,"Presupuesto (Flash de ventas)","src/tables/Table 50001 - Presupuesto (Flash de ventas).al",Renumbered
Table,50002,55002,"Flash ventas (Cantidades)","src/tables/Table 50002 - Flash ventas (Cantidades).al",Renumbered
Table,50003,55003,"Conf. Editorial Santillana","src/tables/Table 50003 - Conf. Editorial Santillana.al",Renumbered
Table,50004,55004,"Dimension Value-Vendores","src/tables/Table 50004 - Dimension Value-Vendores.al",Renumbered
Table,50005,55005,"TMP: Ventas x Vend. - Zona","src/tables/Table 50005 - TMP Ventas x Vend. - Zona.al",Renumbered
Table,50006,55006,"Conf. PRISA","src/tables/Table 50006 - Conf. PRISA.al",Renumbered
Table,50007,55007,"Datos PRISA","src/tables/Table 50007 - Datos PRISA.al",Renumbered
Table,50008,55008,"Colegio - Adopciones Detalle2","src/tables/Table 50008 - Colegio - Adopciones Detalle2.al",Renumbered
Table,50009,55009,"Facturas POS no liquidadas","src/tables/Table 50009 - Facturas POS no liquidadas.al",Renumbered
Table,50010,55010,"Valores dimension TMP","src/tables/Table 50010 - Valores dimension TMP.al",Renumbered
Table,50012,55011,"Productos - Ventas por cliente","src/tables/Table 50012 - Productos - Ventas por cliente.al",Renumbered
Table,50015,55012,"Razones anulacion factura","src/tables/Table 50015 - Razones anulacion factura.al",Renumbered
Table,50016,55013,"Abonos - Facturas afectadas","src/tables/Table 50016 - Abonos - Facturas afectadas.al",Renumbered
Table,50017,55014,"Sales Invoice Header (TMP)","src/tables/Table 50017 - Sales Invoice Header (TMP).al",Renumbered
Table,50018,55015,"Sales Invoice Line (TMP)","src/tables/Table 50018 - Sales Invoice Line (TMP).al",Renumbered
Table,50019,55016,"Utility - fes","src/tables/Table 50019 - Utility - fes.al",Renumbered
